route_id,city,road_name,highway,start_lat,start_lng,end_lat,end_lng,length_m,sinuosity,max_heading_change_deg,sv_coverage,status,geometry_wkt
SR_02280,"Kochi, Kerala, India",,residential,10.0040002,76.3025049,10.004751600000002,76.3023956,84.01,1.0006,4.16,,candidate_no_sv_check,"LINESTRING (76.3025049 10.0040002, 76.3024803 10.004141499999998, 76.3024336 10.0043979, 76.3023956 10.004751600000002)"
SR_02281,"Kochi, Kerala, India",,residential,10.004751600000002,76.3023956,10.0040002,76.3025049,84.01,1.0006,4.16,,candidate_no_sv_check,"LINESTRING (76.3023956 10.004751600000002, 76.3024336 10.0043979, 76.3024803 10.004141499999998, 76.3025049 10.0040002)"
SR_02282,"Kochi, Kerala, India",,residential,10.0057949,76.3029218,10.0055604,76.3020874,95.07,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3029218 10.0057949, 76.3020874 10.0055604)"
SR_02283,"Kochi, Kerala, India",,residential,10.0055707,76.3029261,10.0053573,76.3021327,90.13,1.0001,2.68,,candidate_no_sv_check,"LINESTRING (76.3029261 10.0055707, 76.3028182 10.005537, 76.3021327 10.0053573)"
SR_02284,"Kochi, Kerala, India",,residential,10.0053573,76.3021327,10.0055707,76.3029261,90.13,1.0001,2.68,,candidate_no_sv_check,"LINESTRING (76.3021327 10.0053573, 76.3028182 10.005537, 76.3029261 10.0055707)"
SR_02285,"Kochi, Kerala, India",,unclassified,9.965427600000002,76.2938374,9.965268000000002,76.2930229,91.02,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2938374 9.965427600000002, 76.2930229 9.965268000000002)"
SR_02286,"Kochi, Kerala, India",Panampilly Nagar Avenue,tertiary,9.965698899999998,76.2948585,9.964898599999996,76.2950292,90.49,1.0003,3.98,,candidate_no_sv_check,"LINESTRING (76.2948585 9.965698899999998, 76.2948735 9.9655988, 76.2950292 9.964898599999996)"
SR_02287,"Kochi, Kerala, India",Stadium Link Road,tertiary,9.992244500000002,76.3018284,9.993332699999998,76.3016738,121.57,1.0003,2.09,,candidate_no_sv_check,"LINESTRING (76.3018284 9.992244500000002, 76.30178080000002 9.992514199999999, 76.3017048 9.9930419, 76.3016738 9.993332699999998)"
SR_02288,"Kochi, Kerala, India",Stadium Link Road,tertiary,9.992223199999998,76.3019409,9.9896674,76.3021484,284.73,1.0041,5.4,,candidate_no_sv_check,"LINESTRING (76.3019409 9.992223199999998, 76.3020623 9.9916629, 76.3021332 9.991195599999998, 76.3021516 9.990864899999998, 76.3021605 9.9903252, 76.3021609 9.990300499999998, 76.3021578 9.9898727, 76.3021484 9.9896674)"
SR_02289,"Kochi, Kerala, India",Stadium Link Road,tertiary,9.993332699999998,76.3016738,9.9941792,76.3015798,94.19,1.0001,2.46,,candidate_no_sv_check,"LINESTRING (76.3016738 9.993332699999998, 76.3016019 9.993921000000002, 76.3015955 9.994002599999998, 76.3015798 9.9941792)"
SR_02290,"Kochi, Kerala, India",Old NH 47,primary,10.002128299999999,76.3051755,10.0019896,76.3043839,88.13,1.0001,1.36,,candidate_no_sv_check,"LINESTRING (76.3051755 10.002128299999999, 76.30469 10.0020478, 76.3043839 10.0019896)"
SR_02291,"Kochi, Kerala, India",,residential,10.0019896,76.3043839,10.000732799999998,76.30459260000002,141.13,1.0019,7.12,,candidate_no_sv_check,"LINESTRING (76.3043839 10.0019896, 76.3044595 10.001292800000002, 76.30459260000002 10.000732799999998)"
SR_02292,"Kochi, Kerala, India",,residential,10.0008163,76.3053284,10.000732799999998,76.30459260000002,81.28,1.0011,5.72,,candidate_no_sv_check,"LINESTRING (76.3053284 10.0008163, 76.3048406 10.0007775, 76.30459260000002 10.000732799999998)"
SR_02293,"Kochi, Kerala, India",,residential,9.9964291,76.3035298,9.9962304,76.3026571,98.18,1.0002,2.77,,candidate_no_sv_check,"LINESTRING (76.3035298 9.9964291, 76.3032143 9.996348699999999, 76.3028004 9.996264099999996, 76.3026571 9.9962304)"
SR_02294,"Kochi, Kerala, India",Mahakavi Vailoppilli Road,secondary,9.998594,76.3075666,9.9978172,76.3077486,88.21,1.0001,2.22,,candidate_no_sv_check,"LINESTRING (76.3075666 9.998594, 76.3076274 9.9983282, 76.3076967 9.9980582, 76.3077486 9.9978172)"
SR_02295,"Kochi, Kerala, India",,residential,9.998594,76.3075666,9.998765999999998,76.3084421,97.88,1.0003,3.31,,candidate_no_sv_check,"LINESTRING (76.3075666 9.998594, 76.3081893 9.998726999999999, 76.3084421 9.998765999999998)"
SR_02296,"Kochi, Kerala, India",,residential,10.000457499999998,76.3013421,10.000613499999998,76.3023805,115.17,1.0003,3.52,,candidate_no_sv_check,"LINESTRING (76.3013421 10.000457499999998, 76.3015755 10.000503899999998, 76.3023805 10.000613499999998)"
